Date, Sample size , Positive cases , Male , Female , Recoveries , Deaths ,Nairobi,Mombasa,Vihiga,Kiambu,Kisii,Bungoma,Nyamira,Kakamega,Kisumu,Busia,Kirinyaga,Murang'a,Bomet,Migori,Trans-Nzoia,Siaya,Uasin Gishu,Kericho,Homa Bay,Nyeri,Nandi,Nakuru,Machakos,Embu,Meru,Nyandarua,Tharaka-Nithi,Elgeyo-Marakwet,Makueni,Kilifi,Kwale,West Pokot,Narok,Baringo,Laikipia,Kajiado,Kitui,Mandera,Lamu,Taitaâ€“Taveta,Garissa,Samburu,Wajir,Turkana,Isiolo,Tana River,Marsabit
8/2/2020,5393,690,492,198,58,5,535,1,,56,,1,,,6,9,,,,,,,,,,24,,6,7,4,1,1,,,,,1,,3,,3,28,,,,,4,,,,,,
8/3/2020,2653,544,315,229,263,13,412,9,,27,1,1,,,,1,,1,,,,,14,,,5,,8,17,1,1,,,,4,1,1,,5,,2,17,,,,,16,,,,,,
8/4/2020,4547,605,,,587,6,373,9,,35,,1,,12,2,20,,5,,25,,1,11,5,,2,,15,10,,1,,,2,2,2,,,20,,16,16,1,,,3,,8,,7,1,,
8/5/2020,6200,671,413,258,603,3,376,6,2,112,5,,1,1,16,15,,2,9,,2,,15,9,,13,5,10,20,5,7,,2,,,2,,,10,2,,16,,,,1,3,1,,,,3,
8/6/2020,6195,538,333,205,514,8,277,7,,72,3,,,,1,8,,15,6,7,3,,2,1,,20,,25,9,,3,,2,,2,,1,,3,1,6,55,,6,,,,1,1,,,,
8/7/2020,6814,727,539,188,674,14,393,9,,53,5,,,2,5,20,4,1,1,1,,,,,,1,,30,38,,4,,,1,8,,,,14,,9,108,,,,,1,,,,,,
8/8/2020,7175,699,427,272,781,5,414,9,,54,5,7,,,2,9,,2,3,3,1,1,15,6,4,,3,21,36,,3,2,,,,,,,,,11,81,,,,2,3,,,,,,1
8/9/2020,4420,599,373,226,1062,2,318,28,,70,9,,1,6,4,2,,4,1,,1,1,,14,,3,1,39,38,,2,3,,,5,3,,,3,,,26,4,,,,1,,1,,10,,1
8/10/2020,4603,492,331,161,534,3,357,3,,37,,,,,,5,,3,,,,,1,,,,,,10,3,,,,,1,2,,,,3,,14,,,,,52,,,,1,,
8/11/2020,4171,497,312,185,372,15,236,19,,45,3,,5,2,17,8,3,11,7,,17,,5,5,,8,11,2,19,2,3,,,,1,5,2,5,,,18,26,,,3,,3,,3,2,,,1
8/12/2020,6590,679,400,279,743,18,349,16,2,69,,,1,1,7,6,4,4,1,8,3,1,13,14,3,23,6,8,25,3,5,13,11,,4,2,,,2,1,9,35,2,,,1,18,1,,,4,4,
8/13/2020,6768,650,391,259,490,4,356,7,,53,7,9,1,,2,20,,5,10,7,1,,15,4,,1,3,48,26,3,,,6,1,4,,,,5,3,15,20,4,2,,,,4,,5,1,,2
8/14/2020,5458,580,336,244,198,5,375,15,2,53,2,1,,5,12,17,,1,,,1,1,4,,,7,,15,23,,,1,,,4,3,,,,2,3,14,2,,10,,1,4,,2,,,
8/15/2020,,515,316,199,672,7,251,7,,33,19,,,2,,4,,11,19,10,,,8,23,16,9,3,18,3,3,,3,,,,,,,4,,12,8,41,,5,,,,3,,,,
8/16/2020,3746,271,170,101,686,2,126,6,,11,2,1,,2,8,14,13,1,,,4,1,,,,4,,10,12,,,,,,1,1,,,12,,,10,10,,3,3,8,8,,,,,
8/17/2020,3150,245,145,100,504,8,149,10,,23,,,,,1,4,,2,,,,,1,,,7,,,9,,,,1,,,3,1,,7,,2,14,2,,,,9,,,,,,
8/18/2020,4019,271,178,93,208,5,99,3,1,20,,,,,3,12,1,3,,18,,,18,,,2,2,4,3,1,,,,,4,3,,,,,20,9,1,,11,3,4,11,,10,,3,2
8/19/2020,,379,223,156,244,19,219,7,,40,1,,1,,10,2,1,,5,,1,,28,6,2,4,4,,13,,,,,,1,2,,,3,5,1,14,,,,1,2,,,,3,,
8/20/2020,,426,239,187,256,10,132,16,,24,,,,1,11,7,1,,,17,,,10,48,,7,,11,21,2,1,3,8,,6,4,,,,1,13,63,13,,1,,3,,,,2,,
8/21/2020,4470,322,179,143,288,16,106,11,1,23,23,,2,,5,13,,1,5,,,,3,1,4,,4,25,25,,,3,,,1,,,,,,,53,3,,,3,4,,,3,,,
8/22/2020,5724,355,213,142,296,10,118,25,1,23,3,,,,9,6,4,4,6,20,,,4,5,7,,1,25,18,1,1,1,,,,1,1,,9,,9,20,5,,15,5,4,2,,,,1,1
8/23/2020,4179,246,157,89,217,6,78,6,,22,11,,1,1,8,17,12,1,,,17,,,1,,2,,20,16,3,,,1,,,1,,,,,,24,1,,,,2,,,,1,,
8/24/2020,3381,193,137,56,225,6,78,10,,18,,,,,,,,5,,,2,,1,,,13,,1,1,24,1,1,1,,,2,,,,,,3,,,4,,21,6,,,1,,
8/25/2020,4149,246,170,76,160,6,75,7,,28,,1,1,1,18,1,,4,,9,,,8,,,6,2,2,16,2,,,1,,2,5,3,,,2,4,3,4,,10,7,13,,,9,1,1,
8/26/2020,,213,139,74,241,5,101,19,,12,3,3,,,2,17,3,2,4,,,,1,6,,,,2,8,,5,,,,2,3,1,,1,,,7,,,2,,,3,,,5,1,
8/27/2020,4663,373,273,100,72,3,117,6,,12,32,,1,2,11,66,4,5,2,5,,1,8,3,15,3,3,37,3,,1,,,,1,,,,7,,,4,2,,,7,7,,,1,7,,
8/28/2020,4520,241,152,89,66,0,113,14,,10,,1,,4,3,5,9,,2,,4,,6,4,,2,1,7,2,1,,1,,,2,4,,,9,,7,8,1,,5,10,,,,6,,,
8/29/2020,3009,164,90,74,156,5,56,4,,5,,,,,1,6,1,,,,,,14,,,1,,8,24,,1,2,,,1,5,,,,,,15,,,4,11,1,,,4,,,
8/30/2020,4424,263,180,83,98,2,81,9,1,26,6,,,,2,10,,2,2,4,,1,,,,13,,15,3,20,2,,,,18,1,,,3,2,2,7,6,,3,10,8,,,,1,5,
8/31/2020,4260,144,88,56,205,3,77,18,,9,,,,,6,,,,,,1,1,,,1,,2,4,5,,1,,,,,1,,,5,,1,6,,,,,,,,5,1,,
9/1/2020,1682,114,93,21,318,0,16,17,,14,,,,,1,12,,,,3,,,6,,,5,,,2,1,,,,,,,,,,,,,14,,,8,15,,,,,,
9/2/2020,3474,178,110,68,238,4,48,3,,12,10,,,,9,22,,1,4,,,1,8,24,,1,,7,2,6,1,,,,1,,,,2,,1,,2,,,,12,,,,1,,
9/3/2020,3937,212,132,80,195,4,96,21,,11,,1,,,,10,,1,2,1,,,9,1,,1,,7,7,,1,,,,,6,1,1,8,,9,4,,,6,8,,,,,,,
9/4/2020,4178,179,126,53,415,4,66,2,,9,2,,3,,5,11,,1,,,3,,1,3,,2,,12,3,,,,,,,1,,,,1,2,3,6,,,10,21,,,12,,,
9/5/2020,3707,136,85,51,99,5,35,25,,1,3,,,2,9,3,,,,8,1,,4,,,,,,,6,,7,1,1,,7,,,,2,,11,1,,,,,,,9,,,
9/6/2020,3093,83,58,25,72,3,27,1,,5,3,,,,12,15,1,,,,,,1,,,,,7,7,,,1,,,,,,,,,3,,,,,,,,,,,,
9/7/2020,2668,102,51,51,80,2,41,6,,7,,2,,,1,5,,3,,,,,,,,4,,,2,1,3,,,,2,2,,,,,1,2,11,,,4,1,,,4,,,
9/8/2020,2552,151,74,77,173, -   ,23,2,,9,7,,,,,2,,,1,9,6,,11,3,,,,1,2,,1,1,,,,2,,,4,,1,1,54,,,2,9,,,,,,
9/9/2020,2285,104,,,74,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2020,3854,143,85,58,490,5,35,9,,9,4,,,,4,1,,,,1,2,,2,,,2,,9,5,3,1,,,,2,8,,,,,,5,23,,,1,9,,,7,1,,
9/11/2020,4609,190,136,54,395,4,65,16,,6,9,1,,1,2,2,,1,2,,2,,13,4,,,,4,4,10,4,,,,,1,,,4,,,6,27,,,,6,,,,,,
9/12/2020,4115,176,132,44,329,,32,22,6,7,9,,,,6,2,,1,,6,,,5,2,1,6,,29,1,1,5,2,,,,1,5,,3,1,1,14,2,,,,6,,,,,,
9/13/2020,3092,188,149,39,296,3,23,43,,10,,,,1,4,,,,,,27,,5,4,,2,,7,1,5,2,,1,,,5,,,1,,2,7,2,,1,4,1,1,,29,,,
9/14/2020,1081,48,31,17,176,2,15,20,,2,,,,,,,,,,,,,,,1,,,,1,,2,,4,,,2,,,,,,,,,,,,,1,,,,
9/15/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/2020,2985,92,64,28,165,3,25,20,,4,,,,3,5,2,,,,,,,6,,,1,,8,2,,,,,,,1,,,,,,2,,,,1,7,,,4,,1,
9/17/2020,4188,183,131,52,82,5,54,20,,2,7,,,1,26,2,,,,,16,3,,11,2,3,,10,6,1,5,,,,,2,,,,,,2,,,3,,,2,,5,,,
9/18/2020,2438,148,105,43,98,4,32,40,,11,,,,,5,,,1,,,3,,6,1,,,,7,1,7,,,,1,1,,1,,,1,15,6,4,,,5,,,,,,,
9/19/2020,2868,105,83,22,68, -   ,33,9,,4,,8,,3,3,15,,1,4,,2,,,,,1,,4,2,,2,,,,,,,,,,1,3,2,,,4,4,,,,,,
9/20/2020,2224,152,84,68,110,2,34,24,,19,20,,1,2,19,,,1,,,,1,1,1,,,,10,1,2,2,,,,,,,,,,,3,,,,1,,1,,8,,,1
9/21/2020,1644,98,63,35,62,2,32,20,,5,,,,,4,,,2,,4,,,8,,,,,1,4,1,8,,,2,,2,1,,,,,,,,,2,1,1,,,,,
9/22/2020,1774,139,112,22,198,9,46,9,,6,1,,,,44,,1,,,,,,,9,,,,2,3,1,1,,,,1,,,,,,4,9,,,,,1,,,1,,,
9/23/2020,3874,130,89,41,106,5,35,14,,23,5,,,,19,5,,,2,,1,1,8,6,,,,,1,,1,,,,,5,,,2,,,1,,,,,,,,1,,,
9/24/2020,3307,141,103,38,81,5,14,14,1,9,,2,,,6,1,,1,,8,28,,5,,2,,1,24,2,,1,,,,,,,2,5,,,6,5,,,,,,,4,,,
9/25/2020,5424,218,159,59,170,13,68,21,,13,28,,,2,19,10,,1,1,1,,,3,2,1,1,,4,8,,,1,6,,1,1,,,2,,2,11,,,,5,6,,,,,,
9/26/2020,2872,164,115,49,77,7,41,11,,2,,2,,1,17,22,,,,,5,1,4,1,,,1,10,4,12,,,,,,3,,6,4,,,,,,,1,,,,14,,,2
9/27/2020,3707,244,157,87,40,2,63,13,,10,23,1,,1,14,9,,1,,,7,2,2,5,,1,,58,,,1,,1,,,,,,2,,2,5,,,,,16,,,6,,,1
9/28/2020,1107,53,32,21,60,9,11,,,6,,,,,1,2,,,,,,,6,,,,,4,2,1,11,,,,1,,1,,,,2,3,,,,,2,,,,,,
9/29/2020,3604,210,127,83,59,7,55,15,,21,8,,,1,10,,,,,,,,,36,,,1,19,1,4,,,,,,6,1,,,,,1,24,,,,,,2,5,,,
9/30/2020,2927,151,97,54,168,4,32,10,,5,6,1,1,1,22,,,2,5,,,3,2,,,,,24,,,8,,,,,2,,2,,,,8,1,,,,14,,,,,,2
10/1/2020,4700,184,110,74,115,7,57,22,,4,6,,,,20,,,,2,,8,1,6,13,3,,1,13,7,2,,,,,1,,4,1,6,,7,,,,,,,,,,,,
10/2/2020,3065,210,141,69,91,7,37,15,1,7,3,5,,11,7,,,1,,,13,,8,1,,,2,75,7,1,1,,,2,,8,,,1,1,1,1,,,,1,,,,,,,
10/3/2020,3387,261,186,75,312,3,128,13,1,5,12,,3,1,37,,,,,,1,1,8,,1,1,1,5,7,1,5,,2,1,1,11,,3,,,,5,4,,1,,2,,,,,,
10/4/2020,4385,243,179,64,233,3,70,15,,11,,3,,7,15,,1,,1,,30,,2,10,,,3,44,6,,3,,,,,1,,,13,,1,3,,,,,,,,,4,,
10/5/2020,595,22,15,7,376,4,18,,,1,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,
10/6/2020,1258,137,94,43,296,8,64,12,,8,1,,,,1,,,,,,4,,6,1,,,,1,1,,1,,1,,,,,,,,1,1,,,,,,,,34,,,
10/7/2020,4342,321,183,138,4328,5,109,31,,7,15,,,,16,,,,1,2,32,5,12,3,1,,1,37,2,,9,1,1,,,8,,,16,,5,4,1,,1,,,,,,,,1
10/8/2020,5034,271,177,94,51,3,82,58,,13,10,,4,2,15,,,5,,1,,4,5,,1,,6,6,10,1,1,,,,,5,2,,1,,8,2,,,,,13,,,16,,,
10/9/2020,5327,442,286,156,166,4,80,47,2,10,13,1,,1,20,,1,1,1,2,14,11,22,10,,,2,94,2,20,15,1,,1,,12,2,1,,10,,11,1,,,4,12,,,18,,,
10/10/2020,6872,537,429,108,61,5,157,33,,8,12,118,2,6,13,1,,,,2,9,,16,,,,,48,,,12,,,1,,31,3,,8,,,,2,,,,9,,,41,4,,1
10/11/2020,4287,388,284,104,63,6,84,51,,29,,8,3,,17,10,,,,,49,2,,11,,2,2,86,7,,10,2,3,,2,,2,,,,,3,,,,,5,,,,,,
10/12/2020,2001,73,46,27,97,11,34,11,,1,,,,,,4,1,,,,,,1,,,,,,,,1,,,,,18,,,,,,,,,,2,,,,,,,
10/13/2020,2592,318,215,103,243,10,112,29,1,5,21,,,8,19,24,1,8,,,3,,30,,4,,,25,2,5,,1,1,,,6,,,,,5,2,,,,,1,,,3,2,,
10/14/2020,5832,604,400,204,80,10,125,87,,25,24,,1,12,24,35,2,5,,,25,7,33,,,5,13,113,7,2,11,1,1,,,1,,5,2,,3,16,1,,,2,7,,3,4,,,2
10/15/2020,5618,602,407,195,80,8,133,44,2,11,21,12,5,28,46,7,,1,2,,,2,47,32,,2,10,47,20,2,1,12,,,3,46,,5,1,6,13,7,,,1,,6,1,1,25,,,
10/16/2020,4311,437,253,184,140,8,136,5,,9,,,3,,26,16,,1,6,14,,1,21,21,,5,8,66,14,17,9,2,2,2,,29,,,,,5,15,,,,,,,2,2,,,
10/17/2020,5512,616,391,225,104,12,121,55,,13,10,21,,32,26,8,1,6,5,,1,2,74,29,10,2,1,110,2,3,4,,,1,2,,2,6,4,3,9,10,,,,,20,,1,16,6,,
10/18/2020,4912,685,456,229,105,7,141,73,1,30,37,8,10,27,27,20,,3,,,61,1,6,,,14,18,127,6,,3,,,1,2,18,2,,,5,6,9,2,,,9,,,3,14,1,,
10/19/2020,1852,195,137,58,227,7,99,10,,10,,1,,,2,18,,8,,,,,17,,,,1,7,2,,14,1,,,,,,,,,,3,1,,,,,,1,,,,
10/20/2020,3963,571,361,210,438,3,116,74,2,50,2,2,,4,23,16,5,5,,,10,3,116,41,,1,8,21,1,2,,,,2,,5,1,4,,,43,9,,,,,,1,,1,3,,
10/21/2020,4888,497,295,202,238,16,227,51,,6,2,,,1,4,19,,,,,,,37,,1,4,,9,64,10,2,,,2,3,6,,,1,,28,11,,,,,,,7,2,,,
10/22/2020,7556,1068,666,402,290,12,305,74,,18,28,3,6,47,60,14,3,9,6,9,3,5,48,58,,4,48,137,14,1,20,1,,1,,34,,12,4,3,26,18,,,1,1,15,,4,22,6,,
10/23/2020,6142,631,420,211,371,14,235,76,2,22,12,23,2,4,30,23,,1,,,11,7,28,,12,15,2,3,21,3,10,1,1,6,2,52,1,,3,,,13,,,,,,,,6,1,,3
10/24/2020,6862,947,595,352,455,12,154,37,10,30,18,13,,46,37,28,,11,9,20,21,9,181,30,,1,8,146,2,,17,,2,7,,2,,15,2,6,24,5,5,,,,,2,3,27,5,,14
10/25/2020,6691,931,615,316,333,6,333,95,3,23,12,,7,24,39,19,4,9,,1,61,,24,60,2,,6,85,14,2,2,,1,,,1,1,,1,,,16,18,,,,11,,,54,3,,
10/26/2020,2126,276,179,97,220,18,50,71,,3,,,,,,21,,,,,,,,,,,,5,58,,,,1,,3,21,19,,4,,,13,,,,1,6,,,,,,
10/27/2020,4076,836,618,218,403,14,556,62,,32,3,,,2,7,,,7,,,4,1,68,,1,,5,24,8,,6,1,,3,,1,,,2,2,22,12,,,,,,1,2,4,,,
10/28/2020,6649,1018,,,426,16,199,117,5,102,30,66,6,4,50,8,5,10,18,1,3,18,55,73,,16,10,67,12,,14,2,6,,,40,4,16,2,3,9,9,,,,2,9,5,3,2,14,2,
10/29/2020,4830,761,503,258,346,14,395,55,3,44,,,,1,,21,8,1,,14,12,1,103,,6,3,1,12,12,11,2,3,2,,,30,5,2,,,,,11,,1,1,,,1,,,,
10/30/2020,9851,1185,733,452,272,17,373,118,6,94,27,16,6,38,61,14,1,2,22,,22,19,51,39,2,,2,157,17,2,15,8,,3,10,8,1,,25,,3,20,1,,,1,1,,,,,,
10/31/2020,7635,1395,879,516,1087,15,569,147,,148,7,13,2,15,19,14,1,6,6,1,1,10,60,30,4,11,3,149,26,2,18,1,9,3,,41,4,,1,2,27,25,,,,6,,12,2,,,,
11/1/2020,4433,685,449,236,231,17,202,203,,18,2,18,,14,17,95,5,4,,,,,,4,3,,,18,6,17,,4,,,,17,8,,,,,15,,,,4,1,,,4,2,4,
11/2/2020,5085,724,454,270,248,14,362,19,1,38,2,33,,3,10,44,,2,,1,,,8,,,6,2,46,24,,44,2,,1,3,8,3,,,,23,8,1,,,,17,,,,2,1,10
11/3/2020,3728,491,291,200,404,12,226,70,3,34,2,2,,2,7,,2,3,,2,,,16,3,,3,2,9,22,2,10,,2,,,11,13,,4,,7,17,,7,,2,,6,,,2,,
11/4/2020,8839,1494,870,624,586,12,414,173,,150,2,,1,4,28,,,14,5,,,12,107,10,,,,188,13,10,12,12,,11,6,50,2,31,9,31,28,31,6,,3,35,35,3,,52,,2,4
11/5/2020,6038,1008,616,392,802,21,417,87,,51,7,2,21,32,32,8,2,14,2,16,26,10,23,23,6,15,3,35,20,4,7,23,6,5,6,24,1,6,,1,,48,,9,,1,,1,1,13,,,
11/6/2020,7153,1109,699,410,938,21,347,198,,40,11,12,1,25,36,15,1,4,1,,23,10,69,4,,29,6,73,17,2,63,,6,,1,28,7,,,3,14,20,7,3,,1,11,,,20,1,,
11/7/2020,7386,1065,661,404,888,10,263,181,1,47,11,5,13,25,53,30,1,6,4,1,18,13,63,30,20,21,4,62,12,1,8,13,5,2,1,36,15,,,26,6,38,4,,3,,,,,21,2,,
11/8/2020,4732,719,451,268,912,8,336,84,,45,,,1,17,,50,4,,,1,4,,,,3,20,,18,9,1,2,2,3,,,4,1,,,,1,24,21,14,,,20,,,33,1,,
11/9/2020,4316,759,478,278,728,19,371,82,2,52,7,1,5,18,13,39,,3,1,,1,,34,4,4,17,5,14,17,,8,3,1,2,,10,,,3,,4,27,1,,4,1,,,1,1,2,1,
11/10/2020,7162,1344,815,529,436,24,322,133,3,221,11,2,8,8,36,2,4,8,19,32,4,2,66,65,2,12,16,63,30,11,13,4,3,5,2,40,32,3,4,20,72,43,1,11,,2,,2,2,5,,,
11/11/2020,6816,1216,726,490,531,26,439,250,,59,8,17,1,24,30,,5,3,,1,1,20,38,,8,41,11,6,19,,14,1,,2,1,63,1,1,,,32,24,22,,,52,9,,,1,,10,
11/12/2020,6135,919,559,360,414,23,345,98,1,44,5,,,1,31,,2,5,3,1,32,9,24,41,3,17,2,76,10,7,7,1,,,,74,14,6,5,,2,18,,,7,13,1,,,9,,,5
11/13/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,